viewerId,asset,device/os,country,state,city,asn,isp,start time (unix time),startup time (ms),playing time (ms),buffering time (ms),interrupts,average bitrate (kbps),startup error,session tags,ip address,cdn,browser,conviva session id,stream url,error list,percentage complete
24.146.60.24,TradeCentre  Match Game: Patrick Maroon ,WIN,canada,on,toronto,7992,Cogeco Canada,1518484053,1958,66268,0,0,1952,0,c3.video.isLive=F,24.146.60.24,UNKNOWN,Edge,14975:4193355245:334640141:2464080876:1518484056,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1303386/contentpackages/1849626/manifest.pmpd,,100
24.146.60.24,Stamkos' dad didn't have to 'travel' far for annual dad's trip ,WIN,canada,on,toronto,7992,Cogeco Canada,1518484121,-1,0,0,0,0,0,c3.video.isLive=F,24.146.60.24,UNKNOWN,Edge,14975:4193355245:334640141:2464080876:1518484057,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1324453/contentpackages/1864500/manifest.pmpd,,0
24.146.60.24,"NHL: Avalanche 1, Hurricanes 3",WIN,canada,on,toronto,7992,Cogeco Canada,1518484140,3452,54246,0,0,1952,0,c3.player.name=TSN+VIDI+Web&c3.video.isLive=F&brand=tsn&videoSubDomain=pe-fa-vp11a.9c9media.com,24.146.60.24,UNKNOWN,Edge,14975:4193355245:334640141:2464080876:1518484141,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1323916/contentpackages/1863382/manifest.pmpd,,100
24.146.60.24,Is the 'Vegas Flu' real?,WIN,canada,on,toronto,7992,Cogeco Canada,1518484197,1431,39307,0,0,1952,0,c3.player.name=TSN+VIDI+Web&videoSubDomain=pe-ak-vp02a-9c9media.akamaized.net&brand=tsn&c3.video.isLive=F,24.146.60.24,UNKNOWN,Edge,14975:4193355245:334640141:2464080876:1518484142,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1324245/contentpackages/1863769/manifest.pmpd,,18
174.112.18.105,"CTV National News for Sunday, February 11, 2018",WIN,canada,on,ottawa,812,Rogers,1518485486,4961,627901,21089,3,1823,0,c3.player.name=CTVNEWS+VIDI+Web&videoSubDomain=pe-fa-vp06a.9c9media.com&brand=ctvnews&c3.video.isLive=F,174.112.18.105,UNKNOWN,Chrome,27335:4160301083:934888991:2115657190:1518485489,https://capi.9c9media.com/destinations/ctvnews_web/platforms/desktop/contents/1316697/contentpackages/1863977/manifest.mpd,,47
207.219.166.126,Aecon extends timeline on 1.5B takeover,WIN,canada,bc,burnaby,852,Telus,1518451118,30033,324330,0,0,470,0,c3.player.name=BNN+VIDI+Web&videoSubDomain=pe-li-vp05a.9c9media.com&brand=bnn&c3.video.isLive=F,207.219.166.126,UNKNOWN,MSIE,41173:2416738620:3634963040:2038158041:1518451060,https://capi.9c9media.com/destinations/bnn_web/platforms/desktop/contents/1324504/contentpackages/1864144/manifest.m3u8,,100
207.219.166.126,Another marijuana ETF gets launched,WIN,canada,bc,burnaby,852,Telus,1518451234,20289,203772,0,0,470,0,c3.player.name=BNN+VIDI+Web&c3.video.isLive=F&brand=bnn&videoSubDomain=pe-li-vp09a.9c9media.com,207.219.166.126,UNKNOWN,MSIE,41173:2416738620:3634963040:2038158041:1518451230,https://capi.9c9media.com/destinations/bnn_web/platforms/desktop/contents/1324551/contentpackages/1864208/manifest.m3u8,,54
132.205.229.26,The Good Doctor S1:E14 She,WIN,canada,qc,montreal,376,,1518446893,1718,2536943,0,0,2144,0,c3.player.name=CTV+VIDI+Web&videoSubDomain=pe-ak-vp02a-9c9media.akamaized.net&brand=ctv&c3.video.isLive=F,132.205.229.26,UNKNOWN,Chrome,52019:226258516:3360924235:3773433260:1518446897,https://capi.9c9media.com/destinations/ctv_web/platforms/desktop/contents/1255609/contentpackages/1854745/manifest.mpd,,99
174.113.34.52,"NHL: Avalanche 1, Hurricanes 3",WIN,canada,nb,moncton,812,Rogers,1518451140,8813,54167,0,0,1952,0,c3.player.name=TSN+VIDI+Web&videoSubDomain=pe-fa-vp11a.9c9media.com&brand=tsn&c3.video.isLive=F,174.113.34.52,UNKNOWN,Chrome,52612:1366118498:3758316190:3052044866:1518451143,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1323916/contentpackages/1863382/manifest.mpd,,100
174.113.34.52,Is the 'Vegas Flu' real?,WIN,canada,nb,moncton,812,Rogers,1518451220,3646,162504,0,0,1952,0,c3.player.name=TSN+VIDI+Web&c3.video.isLive=F&brand=tsn&videoSubDomain=pe-ak-vp02a-9c9media.akamaized.net,174.113.34.52,UNKNOWN,Chrome,52612:1366118498:3758316190:3052044866:1518451144,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1324245/contentpackages/1863769/manifest.mpd,,75
174.113.34.52,"NHL: Avalanche 1, Hurricanes 3",WIN,canada,nb,moncton,812,Rogers,1518451438,-1,0,0,0,0,0,c3.player.name=TSN+VIDI+Web&c3.video.isLive=F&brand=tsn&videoSubDomain=pe-fa-vp11a.9c9media.com,174.113.34.52,UNKNOWN,Chrome,52612:1366118498:3758316190:3052044866:1518451441,https://capi.9c9media.com/destinations/tsn_web/platforms/desktop/contents/1323916/contentpackages/1863382/manifest.mpd,,0
174.0.160.88,CTV National News: Canada's race to the podium,IOS,canada,ab,calgary,6327,Shaw,1518421950,4273,12891,0,0,0,0,c3.client.marketingName=iPad&c3.video.isLive=F,174.0.160.88,UNKNOWN,Safari,53141:2917037797:2845802586:1436594630:1518421941,https://capi.9c9media.com/destinations/ctvnews_web/platforms/desktop/contents/1324387/contentpackages/1864003/manifest.m3u8,,6
99.251.24.113,Orcas learn to imitate human speech,MAC,canada,on,toronto,812,Rogers,1518490806,1566,61749,0,0,1952,0,c3.player.name=CTVNEWS+VIDI+Web&c3.video.isLive=F&brand=ctvnews&videoSubDomain=pe-fa-vp11a.9c9media.com,99.251.24.113,UNKNOWN,Chrome,55222:3325383878:4219716940:3803282323:1518490787,https://capi.9c9media.com/destinations/ctvnews_web/platforms/desktop/contents/1317439/contentpackages/1850506/manifest.mpd,,100
99.251.24.113,Orcas learn to imitate human speech,MAC,canada,on,toronto,812,Rogers,1518490932,-1,0,0,0,0,0,c3.player.name=CTVNEWS+VIDI+Web&c3.video.isLive=F&brand=ctvnews&videoSubDomain=pe-fa-vp11a.9c9media.com,99.251.24.113,UNKNOWN,Chrome,55222:3325383878:4219716940:3803282323:1518490788,https://capi.9c9media.com/destinations/ctvnews_web/platforms/desktop/contents/1317439/contentpackages/1850506/manifest.mpd,,0
99.251.24.113,Orcas learn to imitate human speech,MAC,canada,on,toronto,812,Rogers,1518490979,-1,0,0,0,0,0,c3.player.name=CTVNEWS+VIDI+Web&c3.video.isLive=F&brand=ctvnews&videoSubDomain=pe-fa-vp11a.9c9media.com,99.251.24.113,UNKNOWN,Chrome,55222:3325383878:4219716940:3803282323:1518490988,https://capi.9c9media.com/destinations/ctvnews_web/platforms/desktop/contents/1317439/contentpackages/1850506/manifest.mpd,,0
190.234.96.135,[35926] UEFA News and Highlights - Real Madrid-PSG is a game fit for the Champions League final,IOS,peru,lima province,lima,6147,,1518471167,-1,0,0,0,0,0,c3.device.model=iPad6%2C12&c3.client.marketingName=iPad&c3.player.name=TSN+iOS&c3.video.isLive=F&brand=TSN&videoSubDomain=pe-fa-vp11a.9c9media.com,190.234.96.135,INHOUSE,Non-Browser Apps,57161:2504158798:2438712921:38694795:966838847,http://capi.9c9media.com/destinations/tsn_ios/platforms/ipad/contents/1323897/contentpackages/1863118/manifest.m3u8,,0
76.71.79.29,Aecon-Chinese Construction deal critic: Ottawa's full national security review 'not surprising',WIN,canada,on,toronto,577,Bell Canada,1518472444,-3,96680,0,0,1952,0,c3.player.name=BNN+VIDI+Web&videoSubDomain=pe-fa-vp07a.9c9media.com&brand=bnn&c3.video.isLive=F,76.71.79.29,UNKNOWN,Chrome,61957:2719580313:1234096230:2606725228:1518466699,https://capi.9c9media.com/destinations/bnn_web/platforms/desktop/contents/1324666/contentpackages/1864446/manifest.mpd,,29
64.25.165.210,W5 S52:E18 W5: Steel Town Down: Overdose Crisis in the Soo,WIN,canada,on,sault sainte marie,25636,,1518462810,4028,99496,0,0,2031,0,c3.player.name=CTV+VIDI+Web&videoSubDomain=pe-li-vp05a.9c9media.com&brand=ctv&c3.video.isLive=F,64.25.165.210,UNKNOWN,Chrome,63173:646015358:3506307226:192011166:1518462811,https://capi.9c9media.com/destinations/ctv_web/platforms/desktop/contents/1316742/contentpackages/1863148/manifest.mpd,,4
